OBJECTID,ATCOCODE,GRIDTYPE,EASTING,NORTHING,LON,LAT,COMMONNAME,IDENTIFIER,DIRECTION,STREET,LANDMARK,NATGAZID,NATGAZLOCA,PARENTLOCA,GRANDPAREN,TOWN,SUBURB,STOPTYPE,BUSSTOPTYP,BUSREGISTR,RECORDSTAT,NOTES,LOCALITYCE,SMSNUMBER,LASTCHANGE
117,410000022747,,428541,555241,-1.55657000000,54.89111000000,EMERSON RD AYTON N/B,N,N,EMERSON ROAD,OUTSIDE FOOTBRIDGE LEADING TO WASHINGTON SERVICE,E0031125,Portobello (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,AYTON,BCT,MKD,OTH,ACT,,Y,,09/03/2005
118,410000022748,,428545,555198,-1.55652000000,54.89072000000,EMERSON RD AYTON S/B,S,S,EMERSON ROAD,OPPOSITE FOOTBRIDGE LEADINGTO WASHINGTON SERVICE,E0031125,Portobello (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,AYTON,BCT,MKD,OTH,ACT,,Y,,09/03/2005
119,410000022749,,429651,555740,-1.53922000000,54.89553000000,CASTLE RD OXCLOSE N/B,NW,NW,CASTLE ROAD,OUTSIDE MITFORD CLOSE JUNCTION,E0031108,Oxclose (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,OXCLOSE,BCT,MKD,OTH,ACT,,Y,,20/12/2004
120,410000022750,,429648,555752,-1.53926000000,54.89563000000,CASTLE RD OXCLOSE S/B,SE,SE,CASTLE ROAD,OPPOSITE MITFORD CLOSE ENTRANCE,E0031108,Oxclose (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,OXCLOSE,BCT,MKD,OTH,ACT,,Y,,20/12/2004
121,410000022751,,429181,555981,-1.54652000000,54.89772000000,OXCLOSE,NW,NW,RABY ROAD,OUTSIDE OXCLOSE VILLAGE CENTRE,E0031108,Oxclose (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,OXCLOSE,BCT,MKD,PPT,ACT,,Y,,20/12/2004
122,410000022752,,429209,555962,-1.54609000000,54.89755000000,OXCLOSE,W,W,RABY ROAD,OPPOSITE OXCLOSE VILLAGE CENTRE,E0031108,Oxclose (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,OXCLOSE,BCT,MKD,PPT,ACT,,Y,,20/12/2004
123,410000022753,,428880,556127,-1.55120000000,54.89905000000,RABY ROAD OXCLOSE W/B,W,W,RABY ROAD,25M EAST OF AYTON ROAD T JUNCTION,E0031108,Oxclose (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,OXCLOSE,BCT,MKD,OTH,ACT,,Y,,20/12/2004
124,410000022754,,428895,556126,-1.55097000000,54.89904000000,RABY RD OXCLOSE E/B,E,E,RABY ROAD,40M EAST OF AYTON ROAD T JUNCTION,E0031108,Oxclose (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,OXCLOSE,BCT,MKD,OTH,ACT,,Y,,20/12/2004
125,410000022755,,428763,555869,-1.55305000000,54.89674000000,AYTON RD AYTON N/B,N,N,AYTON ROAD,OPPOSITE CHIPCHASE JUNCTION,E0031108,Oxclose (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,AYTON,BCT,MKD,OTH,ACT,,Y,,20/12/2004
126,410000022756,,428751,555804,-1.55324000000,54.89615000000,AYTON RD AYTON S/B,S,S,AYTON ROAD,SOUTH OF CHIPCHASE ENTRANCE,E0031108,Oxclose (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,AYTON,BCT,MKD,OTH,ACT,,Y,,20/12/2004
127,410000022757,,428768,555408,-1.55302000000,54.89259000000,AYTON,N,N,FULMAR DRIVE,50M NORTH OF TURNSTONE DRIVE,E0030738,Ayton (Washington),Washington (Sunderland Urban Area),Sunderland Urban Area,SL,AYTON,BCT,MKD,PPT,ACT,,Y,,20/12/2004
